op_code,work_center,description,est_hours,section,notes,job_no
.478,WELD,Weld jacket to bottom head,0.0,Bottom Head,,046-24
.479,DETAIL,Install jacket nozzles - bottom head,0.0,Bottom Head,,046-24
.482,BUILD,Install body flange on bottom head,0.0,Bottom Head,,046-24
.483,WELD,Weld body flange on bottom head,0.0,Bottom Head,,046-24
.485,WELD,Dye pen bottom head,0.0,Bottom Head,,046-24
.490,WELD,Grind inside welds smooth - bottom head,0.0,Bottom Head,,046-24
.495,WELD,Polish inside weld seams - bottom head,0.0,Bottom Head,,046-24
.500,BUILD,"Build skirt; prep, roll and tack shells",0.0,Skirt,,046-24
.510,BUILD,Build skirt; fit base ring to shell,0.0,Skirt,,046-24
.515,WELD,Weld skirt shell seams and base ring,0.0,Skirt,,046-24
.520,DETAIL,"Lay out skirt, burn and clean holes",0.0,Skirt,,046-24
.530,DETAIL,Build skirt; fit anchors / gussets,0.0,Skirt,,046-24
.540,DETAIL,Set  nozzles / manway in skirt,0.0,Skirt,,046-24
.545,WELD,"Weld skirt anchors, gussets, nozzles, manways, etc.",0.0,Skirt,,046-24
.580,PRE FAB,Fabricate internal coil supports,0.0,Internal Coils,,046-24
.590,PRE FAB,Fabricate internal coil,0.0,Internal Coils,,046-24
.OI1,INSPECTION,ASME Hold Point,0.0,Build Main Tank and Install Internals,,046-24
.600,BUILD,Fit bottom head to shell,12.0,Build Main Tank and Install Internals,AND WELD INSIDE AND OUTSIDE,046-24
.605,BUILD,Tack shell courses together,10.0,Build Main Tank and Install Internals,,046-24
.610,WELD,Weld inside round seams,8.0,Build Main Tank and Install Internals,,046-24
.615,BUILD,Install rim angle,5.0,Build Main Tank and Install Internals,,046-24
.616,WELD,Weld rim angle inside and outside,6.0,Build Main Tank and Install Internals,,046-24
.620,DETAIL,"Lay out shell, burn and clean holes",6.0,Build Main Tank and Install Internals,,046-24
.625,DETAIL,Install baffles and weld,0.0,Build Main Tank and Install Internals,,046-24
.630,DETAIL,"Install internals (wear plates, rings, clips, etc.)",0.0,Build Main Tank and Install Internals,,046-24
.635,DETAIL,Install internal coil and supports,0.0,Build Main Tank and Install Internals,,046-24
.637,WELD,Grind inside welds smooth - shell,0.0,Build Main Tank and Install Internals,,046-24
.638,WELD,Polish inside weld seams - shell,0.0,Build Main Tank and Install Internals,,046-24
.QC5,INSPECTION,Q.C. Inspection - Internal,0.0,Build Main Tank and Install Internals,,046-24
.640,BUILD,Fit top head to shell,7.0,Build Main Tank and Install Internals,AND WELD TO RIM ANGLE,046-24
.641,WELD,Weld top head to shell inside,0.0,Build Main Tank and Install Internals,,046-24
.645,WELD,Weld all outside seams,12.0,Build Main Tank and Install Internals,,046-24
.800,MOVE TANK,Move tank to detail rolls,2.0,Build Main Tank and Install Internals,,046-24
.700,DETAIL,Fit jacket to shell,0.0,Install Nozzles and Externals,,046-24
.705,WELD,Weld jacket to shell,0.0,Install Nozzles and Externals,,046-24
.710,DETAIL,Install jacket nozzles,0.0,Install Nozzles and Externals,,046-24
.711,WELD,Weld jacket nozzles,0.0,Install Nozzles and Externals,,046-24
.715,DETAIL,Install insulation / vacuum rings and weld,0.0,Install Nozzles and Externals,,046-24
.717,DETAIL,Install lift lugs on shell,4.0,Install Nozzles and Externals,INCL. REPADS,046-24
.720,DETAIL,"Fit supports (legs, lugs, anchors, saddles, skirt)",48.0,Install Nozzles and Externals,INCL. REPADS,046-24
.721,WELD,"Weld insulation / vacuum rings, lugs, supports, etc.",12.0,Install Nozzles and Externals,INSTALL CLIPS ON SHELL,046-24
.725,DETAIL,Set nozzles & manways in shell,7.0,Install Nozzles and Externals,,046-24
.726,WELD,"Weld shell nozzles, manways, etc.",18.0,Install Nozzles and Externals,INCL. HOLE WATCH,046-24
.730,WELD,Add repads and weld,0.0,Install Nozzles and Externals,,046-24
.735,DETAIL,Install dip pipe supports,6.0,Install Nozzles and Externals,INCL. HOLE WATCH,046-24
.740,DETAIL,Install dip pipes,8.0,Install Nozzles and Externals,INCL. HOLE WATCH,046-24
.745,DETAIL,Install mixer bridge,0.0,Install Nozzles and Externals,,046-24
.750,DETAIL,Fit handrail; install and weld clips,4.0,Install Nozzles and Externals,,046-24
.755,DETAIL,Fit ladder; install and weld clips,8.0,Install Nozzles and Externals,,046-24
.760,DETAIL,"Fit platform; install and weld clips, bracing, etc.",6.0,Install Nozzles and Externals,,046-24
.QC51,INSPECTION,UT Components,0.0,Install Nozzles and Externals,,046-24
.765,FINISHING,Install name tag,1.0,Install Nozzles and Externals,,046-24
.900,FINISHING,Dye pen test,8.0,Install Nozzles and Externals,,046-24
.770,WELD,"Inspect tank, make repairs, get QC inspector",1.0,Install Nozzles and Externals,,046-24
.QC6,INSPECTION,Q.C. Inspection - Fabrication,0.0,Install Nozzles and Externals,,046-24
.OI4,INSPECTION,Customer Inspection,0.0,Install Nozzles and Externals,,046-24
.OI2,INSPECTION,ASME Inspection - Internal,0.0,Install Nozzles and Externals,,046-24
.850,DETAIL,Remove head,0.0,Repairs,,046-24
.855,DETAIL,Remove nozzles,0.0,Repairs,,046-24
.860,DETAIL,Remove jacket,0.0,Repairs,,046-24
.801,MOVE TANK,Move to shop test area,2.0,Test and Clean,,046-24
.900,FINISHING,Dye pen test,0.0,Test and Clean,,046-24
.910,FINISHING,Test tank,40.0,Test and Clean,"INCL. STAND TANK UPRIGHT, FILL W/ WATER & DRAIN",046-24
.QC7,INSPECTION,QC Inspection - Test,0.0,Test and Clean,,046-24
.OI3,INSPECTION,ASME Inspection - Test,0.0,Test and Clean,,046-24
.920,FINISHING,Clean tank complete,40.0,Test and Clean,,046-24
.QC8,INSPECTION,QC Inspection - Clean,0.0,Test and Clean,,046-24
.802,MOVE TANK,Move to paint area,2.0,Test and Clean,,046-24
.QC9,INSPECTION,QC Inspection - Sandblast,0.0,Test and Clean,,046-24
.QC90,INSPECTION,QC Inspection - Paint,0.0,Test and Clean,,046-24
.940,FINISHING,Prepare tank for shipment,2.0,Test and Clean,,046-24
.950,FINISHING,Check bill of materials and pack loose parts,3.0,Test and Clean,,046-24
.QC95,INSPECTION,Q.C. Inspection - Final & Loose Items,0.0,Test and Clean,,046-24
.960,FINISHING,Load on truck,7.0,Test and Clean,,046-24
.970,SHIPPING,Take parts to galvanizers,0.0,Test and Clean,,046-24
.971,SHIPPING,Take parts to machine shop,0.0,Test and Clean,,046-24
.972,SHIPPING,Pick up parts from galvanizers,0.0,Test and Clean,,046-24
.973,SHIPPING,Pick up parts from machine shop,0.0,Test and Clean,,046-24
.QC21,INSPECTION,QC Inspection - Components return from subcontractor,0.0,Test and Clean,,046-24
.974,SHIPPING,Deliver tank,0.0,Test and Clean,,046-24
.975,SHIPPING,Deliver misc. parts,0.0,Test and Clean,,046-24
.010,PRE FAB,Receive material,0.0,,,047-24
.QC1,INSPECTION,UT top and bottom heads,0.0,,,047-24
.100,PRE FAB,Cut nozzle pipe and clean,9.0,Nozzles and Manways,,047-24
.105,PRE FAB,Build nozzles and weld,22.0,Nozzles and Manways,INCL. FIT & WELD COUPLINGS TO (9) NOZZLES,047-24
.107,PRE FAB,"Build Repads for Nozzles, drill and tap holes",0.0,Nozzles and Manways,,047-24
.110,PRE FAB,Build dip tubes and weld,8.0,Nozzles and Manways,,047-24
.115,PRE FAB,"Make manway parts:  cut clips, form handles, etc.",2.0,Nozzles and Manways,,047-24
.120,PRE FAB,Burn manway neck (CHECK BEFORE BURNING); Clean and bevel,2.0,Nozzles and Manways,,047-24
.125,PRE FAB,Roll manway neck,2.0,Nozzles and Manways,,047-24
.130,PRE FAB,Set up and weld manway flange and neck seam,4.0,Nozzles and Manways,,047-24
.135,PRE FAB,Build davit arm assembly and cover,4.0,Nozzles and Manways,,047-24
.140,PRE FAB,Build hatch/door,0.0,Nozzles and Manways,,047-24
.145,PRE FAB,Install cladding on flange,0.0,Nozzles and Manways,,047-24
.147,PRE FAB,Install cladding on blind / cover,0.0,Nozzles and Manways,,047-24
.155,PRE FAB,Cut parts on CNC plasma table,25.0,Cut & Prep Parts,,047-24
.156,PRE FAB,Clean and prep parts,20.0,Cut & Prep Parts,,047-24
.165,PRE FAB,"Build supports (legs, lugs, saddles)",15.0,Supports,TACK ONLY,047-24
.170,PRE FAB,Roll repads; drill and tap,4.0,Supports,FOR ANCHOR LUGS & LIFT LUGS,047-24
.175,PRE FAB,Build and weld base ring - skirt,0.0,Supports,,047-24
.180,BUILD,"Skirt; bring in plate, square, trim and clean",0.0,Supports,,047-24
.185,BUILD,Roll skirt shells,0.0,Supports,,047-24
.200,PRE FAB,"Make lift lugs, ground lugs, etc.",2.0,Misc. Parts,,047-24
.205,PRE FAB,Roll rim angle,3.0,Misc. Parts,,047-24
.210,PRE FAB,Roll insulation rings,0.0,Misc. Parts,,047-24
.215,PRE FAB,Burn and clean baffles (CHECK BEFORE BURNING),0.0,Misc. Parts,,047-24
.220,PRE FAB,Form baffles,0.0,Misc. Parts,,047-24
.225,PRE FAB,Cut and make baffle supports,0.0,Misc. Parts,,047-24
.230,PRE FAB,Build baffles and weld,0.0,Misc. Parts,,047-24
.235,PRE FAB,Build top and bottom stiffeners,0.0,Misc. Parts,,047-24
.240,PRE FAB,Roll/Burn vacuum rings (CHECK BEFORE BURNING),0.0,Misc. Parts,,047-24
.245,PRE FAB,Cut parts for mixer bridge,0.0,Misc. Parts,,047-24
.250,PRE FAB,Roll pipe - internal coil,0.0,Misc. Parts,,047-24
.252,PRE FAB,Fabricate miscellaneous parts,0.0,Misc. Parts,,047-24
.255,PRE FAB,Drill / punch holes,0.0,Misc. Parts,,047-24
.257,PRE FAB,Build Flange,0.0,Misc. Parts,,047-24
.260,PRE FAB,Sandblast parts / plates,0.0,Misc. Parts,,047-24
.261,PRE FAB,"Miscellaneous Fabrication - Braces, Mounting Plates, Cone Outlet Necks",0.0,Misc. Parts,,047-24
.262,PRE FAB,"Cut / make parts for ladder (rungs, rails, etc.)",10.0,"Ladders, Handrails and Platforms",,047-24
.265,PRE FAB,Form and roll ladder hoops,3.0,"Ladders, Handrails and Platforms",,047-24
.270,PRE FAB,Build ladder; weld out,28.0,"Ladders, Handrails and Platforms",,047-24
.272,PRE FAB,Cut / make parts for handrail,8.0,"Ladders, Handrails and Platforms",,047-24
.275,PRE FAB,Roll handrail pipe,3.0,"Ladders, Handrails and Platforms",,047-24
.280,PRE FAB,Roll handrail toe plate,2.0,"Ladders, Handrails and Platforms",,047-24
.282,PRE FAB,Build handrail; weld out,36.0,"Ladders, Handrails and Platforms",,047-24
.285,PRE FAB,Cut / make parts for platform,6.0,"Ladders, Handrails and Platforms",,047-24
.290,PRE FAB,Burn grating for platforms; clean and band,6.0,"Ladders, Handrails and Platforms",,047-24
.292,PRE FAB,Build platform; weld out,8.0,"Ladders, Handrails and Platforms",,047-24
.295,PRE FAB,Mount handrail on platform,2.0,"Ladders, Handrails and Platforms",,047-24
.QC2,INSPECTION,QC Inspection - Components prior to shipment to subcontractor,0.0,"Ladders, Handrails and Platforms",,047-24
.300,BUILD,Wrap top and bottom heads,0.0,Shells,,047-24
.QC3,INSPECTION,UT Shells,0.0,Shells,,047-24
.305,BUILD,"Shells; bring in plate, square, trim and clean",25.0,Shells,MAKE (4) DOUBLE SHELLS,047-24
.310,BUILD,Bevel shell plates,0.0,Shells,,047-24
.315,BUILD,"Roll shells, tack and weld inside seams",15.0,Shells,ROLL (4) DOUBLE SHELLS,047-24
.320,BUILD,Set up and weld sides - rectangular tank,0.0,Shells,,047-24
.325,BUILD,Install body flange on shell,0.0,Shells,,047-24
.326,WELD,Weld body flange on shell,0.0,Shells,,047-24
.350,BUILD,Build top head / cone,11.0,Top Head,,047-24
.QC4,INSPECTION,QC Inspection - Top,0.0,Top Head,,047-24
.355,DETAIL,"Lay out top head, burn and clean holes",5.0,Top Head,,047-24
.360,BUILD,Bevel top head,0.0,Top Head,,047-24
.365,DETAIL,Set  nozzles in top head,4.0,Top Head,,047-24
.366,WELD,Weld nozzles in top head,8.0,Top Head,,047-24
.370,WELD,Install and weld out repads - top head,0.0,Top Head,,047-24
.375,DETAIL,Install top stiffeners,5.0,Top Head,INSTALL (3) CLIPS,047-24
.380,DETAIL,Build mixer bridge,0.0,Top Head,,047-24
.382,BUILD,Install body flange on top head,0.0,Top Head,,047-24
.383,WELD,Weld body flange on top head,0.0,Top Head,,047-24
.385,WELD,Dye pen top head,0.0,Top Head,,047-24
.390,WELD,Grind inside welds smooth - top head,0.0,Top Head,,047-24
.395,WELD,Polish inside weld seams - top head,0.0,Top Head,,047-24
.450,BUILD,Build bottom head / cone,7.0,Bottom Head,,047-24
.QC4,INSPECTION,QC Inspection - Bottom,0.0,Bottom Head,,047-24
.455,DETAIL,"Lay out bottom head, burn and clean holes",3.0,Bottom Head,,047-24
.460,BUILD,Bevel bottom head,0.0,Bottom Head,,047-24
.465,DETAIL,Set  nozzles in bottom head,0.0,Bottom Head,,047-24
.466,WELD,Weld nozzles in bottom head,0.0,Bottom Head,,047-24
.470,WELD,Install and weld out repads - bottom head,6.0,Bottom Head,INSTALL (4) INTERNAL WEAR PLATES,047-24
.475,DETAIL,Install bottom stiffeners,0.0,Bottom Head,,047-24
.477,DETAIL,Cut and fit jacket to bottom head,0.0,Bottom Head,,047-24
.478,WELD,Weld jacket to bottom head,0.0,Bottom Head,,047-24
.479,DETAIL,Install jacket nozzles - bottom head,0.0,Bottom Head,,047-24
.482,BUILD,Install body flange on bottom head,0.0,Bottom Head,,047-24
.483,WELD,Weld body flange on bottom head,0.0,Bottom Head,,047-24
.485,WELD,Dye pen bottom head,0.0,Bottom Head,,047-24
.490,WELD,Grind inside welds smooth - bottom head,0.0,Bottom Head,,047-24
.495,WELD,Polish inside weld seams - bottom head,0.0,Bottom Head,,047-24
.500,BUILD,"Build skirt; prep, roll and tack shells",0.0,Skirt,,047-24
.510,BUILD,Build skirt; fit base ring to shell,0.0,Skirt,,047-24
.515,WELD,Weld skirt shell seams and base ring,0.0,Skirt,,047-24
.520,DETAIL,"Lay out skirt, burn and clean holes",0.0,Skirt,,047-24
.530,DETAIL,Build skirt; fit anchors / gussets,0.0,Skirt,,047-24
.540,DETAIL,Set  nozzles / manway in skirt,0.0,Skirt,,047-24
.545,WELD,"Weld skirt anchors, gussets, nozzles, manways, etc.",0.0,Skirt,,047-24
.580,PRE FAB,Fabricate internal coil supports,0.0,Internal Coils,,047-24
.590,PRE FAB,Fabricate internal coil,0.0,Internal Coils,,047-24
.OI1,INSPECTION,ASME Hold Point,0.0,Build Main Tank and Install Internals,,047-24
.600,BUILD,Fit bottom head to shell,14.0,Build Main Tank and Install Internals,AND WELD INSIDE & OUTSIDE,047-24
.605,BUILD,Tack shell courses together,14.0,Build Main Tank and Install Internals,,047-24
.610,WELD,Weld inside round seams,15.0,Build Main Tank and Install Internals,,047-24
.615,BUILD,Install rim angle,6.0,Build Main Tank and Install Internals,,047-24
.616,WELD,Weld rim angle inside and outside,6.0,Build Main Tank and Install Internals,,047-24
.620,DETAIL,"Lay out shell, burn and clean holes",6.0,Build Main Tank and Install Internals,,047-24
.625,DETAIL,Install baffles and weld,0.0,Build Main Tank and Install Internals,,047-24
.630,DETAIL,"Install internals (wear plates, rings, clips, etc.)",0.0,Build Main Tank and Install Internals,,047-24
.635,DETAIL,Install internal coil and supports,0.0,Build Main Tank and Install Internals,,047-24
.637,WELD,Grind inside welds smooth - shell,0.0,Build Main Tank and Install Internals,,047-24
.638,WELD,Polish inside weld seams - shell,0.0,Build Main Tank and Install Internals,,047-24
.QC5,INSPECTION,Q.C. Inspection - Internal,0.0,Build Main Tank and Install Internals,,047-24
.640,BUILD,Fit top head to shell,7.0,Build Main Tank and Install Internals,AND WELD TO RIM ANGLE,047-24
.641,WELD,Weld top head to shell inside,0.0,Build Main Tank and Install Internals,,047-24
.645,WELD,Weld all outside seams,18.0,Build Main Tank and Install Internals,,047-24
.800,MOVE TANK,Move tank to detail rolls,2.0,Build Main Tank and Install Internals,,047-24
.700,DETAIL,Fit jacket to shell,0.0,Install Nozzles and Externals,,047-24
.705,WELD,Weld jacket to shell,0.0,Install Nozzles and Externals,,047-24
.710,DETAIL,Install jacket nozzles,0.0,Install Nozzles and Externals,,047-24
.711,WELD,Weld jacket nozzles,0.0,Install Nozzles and Externals,,047-24
.715,DETAIL,Install insulation / vacuum rings and weld,0.0,Install Nozzles and Externals,,047-24
.717,DETAIL,Install lift lugs on shell,4.0,Install Nozzles and Externals,INCL. REPADS,047-24
.720,DETAIL,"Fit supports (legs, lugs, anchors, saddles, skirt)",40.0,Install Nozzles and Externals,INCL. REPADS,047-24
.721,WELD,"Weld insulation / vacuum rings, lugs, supports, etc.",26.0,Install Nozzles and Externals,INSTALL (12) CLIPS ON SHELL,047-24
.725,DETAIL,Set nozzles & manways in shell,10.0,Install Nozzles and Externals,,047-24
.726,WELD,"Weld shell nozzles, manways, etc.",18.0,Install Nozzles and Externals,INCL. HOLE WATCH,047-24
.730,WELD,Add repads and weld,0.0,Install Nozzles and Externals,,047-24
.735,DETAIL,Install dip pipe supports,12.0,Install Nozzles and Externals,INCL. HOLE WATCH,047-24
.740,DETAIL,Install dip pipes,16.0,Install Nozzles and Externals,INCL. HOLE WATCH,047-24
.745,DETAIL,Install mixer bridge,0.0,Install Nozzles and Externals,,047-24
.750,DETAIL,Fit handrail; install and weld clips,5.0,Install Nozzles and Externals,,047-24
.755,DETAIL,Fit ladder; install and weld clips,10.0,Install Nozzles and Externals,*** MAKE SURE LADDER DOES NOT COVER NOZZLES ***,047-24
.760,DETAIL,"Fit platform; install and weld clips, bracing, etc.",8.0,Install Nozzles and Externals,,047-24
.QC51,INSPECTION,UT Components,0.0,Install Nozzles and Externals,,047-24
.765,FINISHING,Install name tag,1.0,Install Nozzles and Externals,,047-24
.900,FINISHING,Dye pen test,0.0,Install Nozzles and Externals,,047-24
.770,WELD,"Inspect tank, make repairs, get QC inspector",2.0,Install Nozzles and Externals,,047-24
.QC6,INSPECTION,Q.C. Inspection - Fabrication,0.0,Install Nozzles and Externals,,047-24
.OI4,INSPECTION,Customer Inspection,0.0,Install Nozzles and Externals,,047-24
.OI2,INSPECTION,ASME Inspection - Internal,0.0,Install Nozzles and Externals,,047-24
.850,DETAIL,Remove head,0.0,Repairs,,047-24
.855,DETAIL,Remove nozzles,0.0,Repairs,,047-24
.860,DETAIL,Remove jacket,0.0,Repairs,,047-24
.801,MOVE TANK,Move to shop test area,2.0,Test and Clean,,047-24
.900,FINISHING,Dye pen test,0.0,Test and Clean,,047-24
.910,FINISHING,Test tank,40.0,Test and Clean,"INCL. STAND TANK UPRIGHT, FILL W/ WATER & DRAIN",047-24
.QC7,INSPECTION,QC Inspection - Test,0.0,Test and Clean,,047-24
.OI3,INSPECTION,ASME Inspection - Test,0.0,Test and Clean,,047-24
.920,FINISHING,Clean tank complete,50.0,Test and Clean,,047-24
.QC8,INSPECTION,QC Inspection - Clean,0.0,Test and Clean,,047-24
.802,MOVE TANK,Move to paint area,2.0,Test and Clean,,047-24
.QC9,INSPECTION,QC Inspection - Sandblast,0.0,Test and Clean,,047-24
.QC90,INSPECTION,QC Inspection - Paint,0.0,Test and Clean,,047-24
.940,FINISHING,Prepare tank for shipment,2.0,Test and Clean,,047-24
.950,FINISHING,Check bill of materials and pack loose parts,3.0,Test and Clean,,047-24
.QC95,INSPECTION,Q.C. Inspection - Final & Loose Items,0.0,Test and Clean,,047-24
.960,FINISHING,Load on truck,7.0,Test and Clean,,047-24
.970,SHIPPING,Take parts to galvanizers,0.0,Test and Clean,,047-24
.971,SHIPPING,Take parts to machine shop,0.0,Test and Clean,,047-24
.972,SHIPPING,Pick up parts from galvanizers,0.0,Test and Clean,,047-24
.973,SHIPPING,Pick up parts from machine shop,0.0,Test and Clean,,047-24
.QC21,INSPECTION,QC Inspection - Components return from subcontractor,0.0,Test and Clean,,047-24
.974,SHIPPING,Deliver tank,0.0,Test and Clean,,047-24
.975,SHIPPING,Deliver misc. parts,0.0,Test and Clean,,047-24
.010,PRE FAB,Receive material,0.0,,,051-24
.QC1,INSPECTION,UT top and bottom heads,0.0,,,051-24
.100,PRE FAB,Cut nozzle pipe and clean,3.0,Nozzles and Manways,,051-24
.105,PRE FAB,Build nozzles and weld,8.0,Nozzles and Manways,,051-24
.107,PRE FAB,"Build Repads for Nozzles, drill and tap holes",0.0,Nozzles and Manways,,051-24
.110,PRE FAB,Build dip tubes and weld,0.0,Nozzles and Manways,,051-24
.115,PRE FAB,"Make manway parts:  cut clips, form handles, etc.",3.0,Nozzles and Manways,,051-24
.120,PRE FAB,Burn manway neck (CHECK BEFORE BURNING); Clean and bevel,3.0,Nozzles and Manways,,051-24
.125,PRE FAB,Roll manway neck,3.0,Nozzles and Manways,,051-24
.130,PRE FAB,Set up and weld manway flange and neck seam,6.0,Nozzles and Manways,,051-24
.135,PRE FAB,Build davit arm assembly and cover,10.0,Nozzles and Manways,INCL. INSTALL NOZZ L ON COVER FOR MANWAY F,051-24
.140,PRE FAB,Build hatch/door,0.0,Nozzles and Manways,,051-24
.145,PRE FAB,Install cladding on flange,0.0,Nozzles and Manways,,051-24
.147,PRE FAB,Install cladding on blind / cover,0.0,Nozzles and Manways,,051-24
.155,PRE FAB,Cut parts on CNC plasma table,10.0,Cut & Prep Parts,,051-24
.156,PRE FAB,Clean and prep parts,12.0,Cut & Prep Parts,,051-24
.165,PRE FAB,"Build supports (legs, lugs, saddles)",14.0,Supports,,051-24
.170,PRE FAB,Roll repads; drill and tap,2.0,Supports,,051-24
.175,PRE FAB,Build and weld base ring - skirt,0.0,Supports,,051-24
.180,BUILD,"Skirt; bring in plate, square, trim and clean",0.0,Supports,,051-24
.185,BUILD,Roll skirt shells,0.0,Supports,,051-24
.200,PRE FAB,"Make lift lugs, ground lugs, etc.",2.0,Misc. Parts,,051-24
.205,PRE FAB,Roll rim angle,0.0,Misc. Parts,,051-24
.210,PRE FAB,Roll insulation rings,0.0,Misc. Parts,,051-24
.215,PRE FAB,Burn and clean baffles (CHECK BEFORE BURNING),0.0,Misc. Parts,,051-24
.220,PRE FAB,Form baffles,0.0,Misc. Parts,,051-24
.225,PRE FAB,Cut and make baffle supports,0.0,Misc. Parts,,051-24
.230,PRE FAB,Build baffles and weld,0.0,Misc. Parts,,051-24
.235,PRE FAB,Build top and bottom stiffeners,0.0,Misc. Parts,,051-24
.240,PRE FAB,Roll/Burn vacuum rings (CHECK BEFORE BURNING),0.0,Misc. Parts,,051-24
.245,PRE FAB,Cut parts for mixer bridge,0.0,Misc. Parts,,051-24
.250,PRE FAB,Roll pipe - internal coil,0.0,Misc. Parts,,051-24
.252,PRE FAB,Fabricate miscellaneous parts,0.0,Misc. Parts,,051-24
.255,PRE FAB,Drill / punch holes,0.0,Misc. Parts,,051-24
.257,PRE FAB,Build Flange,0.0,Misc. Parts,,051-24
.260,PRE FAB,Sandblast parts / plates,0.0,Misc. Parts,,051-24
.261,PRE FAB,"Miscellaneous Fabrication - Braces, Mounting Plates, Cone Outlet Necks",0.0,Misc. Parts,,051-24
.262,PRE FAB,"Cut / make parts for ladder (rungs, rails, etc.)",0.0,"Ladders, Handrails and Platforms",,051-24
.265,PRE FAB,Form and roll ladder hoops,0.0,"Ladders, Handrails and Platforms",,051-24
.270,PRE FAB,Build ladder; weld out,0.0,"Ladders, Handrails and Platforms",,051-24
.272,PRE FAB,Cut / make parts for handrail,0.0,"Ladders, Handrails and Platforms",,051-24
.275,PRE FAB,Roll handrail pipe,0.0,"Ladders, Handrails and Platforms",,051-24
.280,PRE FAB,Roll handrail toe plate,0.0,"Ladders, Handrails and Platforms",,051-24
.282,PRE FAB,Build handrail; weld out,0.0,"Ladders, Handrails and Platforms",,051-24
.285,PRE FAB,Cut / make parts for platform,0.0,"Ladders, Handrails and Platforms",,051-24
.290,PRE FAB,Burn grating for platforms; clean and band,0.0,"Ladders, Handrails and Platforms",,051-24
.292,PRE FAB,Build platform; weld out,0.0,"Ladders, Handrails and Platforms",,051-24
.295,PRE FAB,Mount handrail on platform,0.0,"Ladders, Handrails and Platforms",,051-24
.QC2,INSPECTION,QC Inspection - Components prior to shipment to subcontractor,0.0,"Ladders, Handrails and Platforms",,051-24
.300,BUILD,Wrap top and bottom heads,2.0,Shells,,051-24
.QC3,INSPECTION,UT Shells,0.0,Shells,,051-24
.305,BUILD,"Shells; bring in plate, square, trim and clean",15.0,Shells,,051-24
.310,BUILD,Bevel shell plates,12.0,Shells,,051-24
.315,BUILD,"Roll shells, tack and weld inside seams",15.0,Shells,,051-24
.320,BUILD,Set up and weld sides - rectangular tank,0.0,Shells,,051-24
.325,BUILD,Install body flange on shell,0.0,Shells,,051-24
.326,WELD,Weld body flange on shell,0.0,Shells,,051-24
.350,BUILD,Build top head / cone,0.0,Top Head,,051-24
.QC4,INSPECTION,QC Inspection - Top,0.0,Top Head,,051-24
.355,DETAIL,"Lay out top head, burn and clean holes",3.0,Top Head,LEFT HEAD (CUT HOLES ON BURN TABLE),051-24
.360,BUILD,Bevel top head,3.0,Top Head,PREP HOLES FOR FULL PEN WELDS,051-24
.365,DETAIL,Set  nozzles in top head,2.0,Top Head,,051-24
.366,WELD,Weld nozzles in top head,6.0,Top Head,,051-24
.370,WELD,Install and weld out repads - top head,0.0,Top Head,,051-24
.375,DETAIL,Install top stiffeners,0.0,Top Head,,051-24
.380,DETAIL,Build mixer bridge,0.0,Top Head,,051-24
.382,BUILD,Install body flange on top head,0.0,Top Head,,051-24
.383,WELD,Weld body flange on top head,0.0,Top Head,,051-24
.385,WELD,Dye pen top head,0.0,Top Head,,051-24
.390,WELD,Grind inside welds smooth - top head,0.0,Top Head,,051-24
.395,WELD,Polish inside weld seams - top head,0.0,Top Head,,051-24
.450,BUILD,Build bottom head / cone,0.0,Bottom Head,,051-24
.QC4,INSPECTION,QC Inspection - Bottom,0.0,Bottom Head,,051-24
.455,DETAIL,"Lay out bottom head, burn and clean holes",0.0,Bottom Head,,051-24
.460,BUILD,Bevel bottom head,0.0,Bottom Head,,051-24
.465,DETAIL,Set  nozzles in bottom head,0.0,Bottom Head,,051-24
.466,WELD,Weld nozzles in bottom head,0.0,Bottom Head,,051-24
.470,WELD,Install and weld out repads - bottom head,0.0,Bottom Head,,051-24
.475,DETAIL,Install bottom stiffeners,0.0,Bottom Head,,051-24
.477,DETAIL,Cut and fit jacket to bottom head,0.0,Bottom Head,,051-24
.478,WELD,Weld jacket to bottom head,0.0,Bottom Head,,051-24
.479,DETAIL,Install jacket nozzles - bottom head,0.0,Bottom Head,,051-24
.482,BUILD,Install body flange on bottom head,0.0,Bottom Head,,051-24
.483,WELD,Weld body flange on bottom head,0.0,Bottom Head,,051-24
.485,WELD,Dye pen bottom head,0.0,Bottom Head,,051-24
.490,WELD,Grind inside welds smooth - bottom head,0.0,Bottom Head,,051-24
.495,WELD,Polish inside weld seams - bottom head,0.0,Bottom Head,,051-24
.500,BUILD,"Build skirt; prep, roll and tack shells",0.0,Skirt,,051-24
.510,BUILD,Build skirt; fit base ring to shell,0.0,Skirt,,051-24
.515,WELD,Weld skirt shell seams and base ring,0.0,Skirt,,051-24
.520,DETAIL,"Lay out skirt, burn and clean holes",0.0,Skirt,,051-24
.530,DETAIL,Build skirt; fit anchors / gussets,0.0,Skirt,,051-24
.540,DETAIL,Set  nozzles / manway in skirt,0.0,Skirt,,051-24
.545,WELD,"Weld skirt anchors, gussets, nozzles, manways, etc.",0.0,Skirt,,051-24
.580,PRE FAB,Fabricate internal coil supports,0.0,Internal Coils,,051-24
.590,PRE FAB,Fabricate internal coil,0.0,Internal Coils,,051-24
.OI1,INSPECTION,ASME Hold Point,0.0,Build Main Tank and Install Internals,,051-24
.600,BUILD,Fit bottom head to shell,3.0,Build Main Tank and Install Internals,,051-24
